GOV,Level of government,TAX,Revenue category,Year,Value
NES,Total,TOTALTAX,Total tax revenue,2012,3539.267
NES,Total,TOTALTAX,Total tax revenue,2013,4421.882
NES,Total,TOTALTAX,Total tax revenue,2014,5182.304
NES,Total,TOTALTAX,Total tax revenue,2015,5872.243
NES,Total,TOTALTAX,Total tax revenue,2016,5994.806
NES,Total,TOTALTAX,Total tax revenue,2017,6095.027
NES,Total,TOTALTAX,Total tax revenue,2018,7288.939
NES,Total,TOTALTAX,Total tax revenue,2019,7247.74
NES,Total,TOTALTAX,Total tax revenue,2020,6770.868
NES,Total,TOTALTAX,Total tax revenue,2021,7826.412
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2004,786.558
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2005,806.77
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2006,829.284
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2007,988.672
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2008,1233.798
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2009,1560.169
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2010,1651.512
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2011,2024.875
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2012,1898.842
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2013,2689.582
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2014,3065.509
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2015,3651.289
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2016,3734.2
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2017,3575.685
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2018,4103.455
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2019,4055.621
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2020,3743.12
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2021,4161.17
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2004,786.558
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2005,806.77
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2006,829.284
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2007,988.672
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2008,1233.798
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2009,1560.169
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2010,1651.512
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2011,2024.875
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2012,1898.842
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2013,2689.582
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2014,3065.509
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2015,3651.289
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2016,3734.2
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2017,3575.685
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2018,4103.455
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2019,4055.621
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2020,3743.12
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2021,4161.17
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2004,567.753
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2005,617.883
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2006,628.036
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2007,716.208
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2008,850.528
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2009,866.185
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2010,1179.647
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2011,1469.101
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2012,1445.721
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2013,2072.014
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2014,2158.683
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2015,2484.098
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2016,2695.462
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2017,2751.488
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2018,3111.605
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2019,3142.412
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2020,2850.863
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2021,3235.265
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2004,567.753
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2005,617.883
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2006,628.036
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2007,716.208
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2008,850.528
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2009,866.185
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2010,1179.647
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2011,1469.101
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2012,1445.721
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2013,2072.014
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2014,2158.683
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2015,2484.098
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2016,2695.462
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2017,2751.488
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2018,3111.605
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2019,3142.412
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2020,2850.863
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2021,3235.265
FED,Federal or Central government,1110,1110 On income and profits of individuals,2004,567.753
FED,Federal or Central government,1110,1110 On income and profits of individuals,2005,617.883
FED,Federal or Central government,1110,1110 On income and profits of individuals,2006,628.036
FED,Federal or Central government,1110,1110 On income and profits of individuals,2007,716.208
FED,Federal or Central government,1110,1110 On income and profits of individuals,2008,850.528
FED,Federal or Central government,1110,1110 On income and profits of individuals,2009,866.185
FED,Federal or Central government,1110,1110 On income and profits of individuals,2010,1179.647
FED,Federal or Central government,1110,1110 On income and profits of individuals,2011,1469.101
FED,Federal or Central government,1110,1110 On income and profits of individuals,2012,1445.721
FED,Federal or Central government,1110,1110 On income and profits of individuals,2013,2072.014
FED,Federal or Central government,1110,1110 On income and profits of individuals,2014,2158.683
FED,Federal or Central government,1110,1110 On income and profits of individuals,2015,2484.098
FED,Federal or Central government,1110,1110 On income and profits of individuals,2016,2695.462
FED,Federal or Central government,1110,1110 On income and profits of individuals,2017,2751.488
FED,Federal or Central government,1110,1110 On income and profits of individuals,2018,3111.605
FED,Federal or Central government,1110,1110 On income and profits of individuals,2019,3142.412
FED,Federal or Central government,1110,1110 On income and profits of individuals,2020,2850.863
FED,Federal or Central government,1110,1110 On income and profits of individuals,2021,3235.265
NES,Total,1110,1110 On income and profits of individuals,2004,567.753
NES,Total,1110,1110 On income and profits of individuals,2005,617.883
NES,Total,1110,1110 On income and profits of individuals,2006,628.036
NES,Total,1110,1110 On income and profits of individuals,2007,716.208
NES,Total,1110,1110 On income and profits of individuals,2008,850.528
NES,Total,1110,1110 On income and profits of individuals,2009,866.185
NES,Total,1110,1110 On income and profits of individuals,2010,1179.647
NES,Total,1110,1110 On income and profits of individuals,2011,1469.101
NES,Total,1110,1110 On income and profits of individuals,2012,1445.721
NES,Total,1110,1110 On income and profits of individuals,2013,2072.014
NES,Total,1110,1110 On income and profits of individuals,2014,2158.683
NES,Total,1110,1110 On income and profits of individuals,2015,2484.098
NES,Total,1110,1110 On income and profits of individuals,2016,2695.462
NES,Total,1110,1110 On income and profits of individuals,2017,2751.488
NES,Total,1110,1110 On income and profits of individuals,2018,3111.605
NES,Total,1110,1110 On income and profits of individuals,2019,3142.412
NES,Total,1110,1110 On income and profits of individuals,2020,2850.863
NES,Total,1110,1110 On income and profits of individuals,2021,3235.265
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2004,567.753
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2005,617.883
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2006,628.036
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2007,716.208
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2008,850.528
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2009,866.185
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2010,1179.647
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2011,1469.101
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2012,1445.721
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2013,1644.675
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2014,1651.341
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2015,1736.5
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2016,1965.013
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2017,1977.036
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2018,2212.087
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2019,2295.861
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2020,2022.619
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2021,2372.891
NES,Total,1110_L01_LSO,Personal income tax,2004,567.753
NES,Total,1110_L01_LSO,Personal income tax,2005,617.883
NES,Total,1110_L01_LSO,Personal income tax,2006,628.036
NES,Total,1110_L01_LSO,Personal income tax,2007,716.208
NES,Total,1110_L01_LSO,Personal income tax,2008,850.528
NES,Total,1110_L01_LSO,Personal income tax,2009,866.185
NES,Total,1110_L01_LSO,Personal income tax,2010,1179.647
NES,Total,1110_L01_LSO,Personal income tax,2011,1469.101
NES,Total,1110_L01_LSO,Personal income tax,2012,1445.721
NES,Total,1110_L01_LSO,Personal income tax,2013,1644.675
NES,Total,1110_L01_LSO,Personal income tax,2014,1651.341
NES,Total,1110_L01_LSO,Personal income tax,2015,1736.5
NES,Total,1110_L01_LSO,Personal income tax,2016,1965.013
NES,Total,1110_L01_LSO,Personal income tax,2017,1977.036
NES,Total,1110_L01_LSO,Personal income tax,2018,2212.087
NES,Total,1110_L01_LSO,Personal income tax,2019,2295.861
NES,Total,1110_L01_LSO,Personal income tax,2020,2022.619
NES,Total,1110_L01_LSO,Personal income tax,2021,2372.891
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2004,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2005,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2006,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2007,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2008,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2009,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2010,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2011,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2012,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2013,427.339
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2014,507.342
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2015,747.598
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2016,730.449
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2017,774.453
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2018,899.518
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2019,846.551
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2020,828.244
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2021,862.375
NES,Total,1110_L02_LSO,Withholding tax,2004,0.0
NES,Total,1110_L02_LSO,Withholding tax,2005,0.0
NES,Total,1110_L02_LSO,Withholding tax,2006,0.0
NES,Total,1110_L02_LSO,Withholding tax,2007,0.0
NES,Total,1110_L02_LSO,Withholding tax,2008,0.0
NES,Total,1110_L02_LSO,Withholding tax,2009,0.0
NES,Total,1110_L02_LSO,Withholding tax,2010,0.0
NES,Total,1110_L02_LSO,Withholding tax,2011,0.0
NES,Total,1110_L02_LSO,Withholding tax,2012,0.0
NES,Total,1110_L02_LSO,Withholding tax,2013,427.339
NES,Total,1110_L02_LSO,Withholding tax,2014,507.342
NES,Total,1110_L02_LSO,Withholding tax,2015,747.598
NES,Total,1110_L02_LSO,Withholding tax,2016,730.449
NES,Total,1110_L02_LSO,Withholding tax,2017,774.453
NES,Total,1110_L02_LSO,Withholding tax,2018,899.518
NES,Total,1110_L02_LSO,Withholding tax,2019,846.551
NES,Total,1110_L02_LSO,Withholding tax,2020,828.244
NES,Total,1110_L02_LSO,Withholding tax,2021,862.375
FED,Federal or Central government,1120,1120 On capital gains of individuals,2004,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2005,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2006,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2007,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2008,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2009,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2010,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2011,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2012,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2013,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2014,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2015,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2016,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2017,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2018,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2019,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2020,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2021,0.0
NES,Total,1120,1120 On capital gains of individuals,2004,0.0
NES,Total,1120,1120 On capital gains of individuals,2005,0.0
NES,Total,1120,1120 On capital gains of individuals,2006,0.0
NES,Total,1120,1120 On capital gains of individuals,2007,0.0
NES,Total,1120,1120 On capital gains of individuals,2008,0.0
NES,Total,1120,1120 On capital gains of individuals,2009,0.0
NES,Total,1120,1120 On capital gains of individuals,2010,0.0
NES,Total,1120,1120 On capital gains of individuals,2011,0.0
NES,Total,1120,1120 On capital gains of individuals,2012,0.0
NES,Total,1120,1120 On capital gains of individuals,2013,0.0
NES,Total,1120,1120 On capital gains of individuals,2014,0.0
NES,Total,1120,1120 On capital gains of individuals,2015,0.0
NES,Total,1120,1120 On capital gains of individuals,2016,0.0
NES,Total,1120,1120 On capital gains of individuals,2017,0.0
NES,Total,1120,1120 On capital gains of individuals,2018,0.0
NES,Total,1120,1120 On capital gains of individuals,2019,0.0
NES,Total,1120,1120 On capital gains of individuals,2020,0.0
NES,Total,1120,1120 On capital gains of individuals,2021,0.0
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2004,218.805
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2005,188.887
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2006,201.248
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2007,272.464
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2008,383.27
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2009,693.983
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2010,471.865
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2011,555.774
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2012,453.121
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2013,602.281
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2014,884.006
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2015,1133.104
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2016,990.564
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2017,790.777
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2018,958.624
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2019,883.948
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2020,861.664
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2021,885.264
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2004,218.805
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2005,188.887
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2006,201.248
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2007,272.464
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2008,383.27
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2009,693.983
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2010,471.865
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2011,555.774
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2012,453.121
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2013,602.281
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2014,884.006
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2015,1133.104
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2016,990.564
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2017,790.777
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2018,958.624
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2019,883.948
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2020,861.664
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2021,885.264
FED,Federal or Central government,1210,1210 On profits of corporates,2004,218.805
FED,Federal or Central government,1210,1210 On profits of corporates,2005,188.887
FED,Federal or Central government,1210,1210 On profits of corporates,2006,201.248
FED,Federal or Central government,1210,1210 On profits of corporates,2007,272.464
FED,Federal or Central government,1210,1210 On profits of corporates,2008,383.27
FED,Federal or Central government,1210,1210 On profits of corporates,2009,693.983
FED,Federal or Central government,1210,1210 On profits of corporates,2010,471.865
FED,Federal or Central government,1210,1210 On profits of corporates,2011,555.774
FED,Federal or Central government,1210,1210 On profits of corporates,2012,453.121
FED,Federal or Central government,1210,1210 On profits of corporates,2013,602.281
FED,Federal or Central government,1210,1210 On profits of corporates,2014,884.006
FED,Federal or Central government,1210,1210 On profits of corporates,2015,1133.104
FED,Federal or Central government,1210,1210 On profits of corporates,2016,990.564
FED,Federal or Central government,1210,1210 On profits of corporates,2017,790.777
FED,Federal or Central government,1210,1210 On profits of corporates,2018,958.624
FED,Federal or Central government,1210,1210 On profits of corporates,2019,883.948
FED,Federal or Central government,1210,1210 On profits of corporates,2020,861.664
FED,Federal or Central government,1210,1210 On profits of corporates,2021,885.264
NES,Total,1210,1210 On profits of corporates,2004,218.805
NES,Total,1210,1210 On profits of corporates,2005,188.887
NES,Total,1210,1210 On profits of corporates,2006,201.248
NES,Total,1210,1210 On profits of corporates,2007,272.464
NES,Total,1210,1210 On profits of corporates,2008,383.27
NES,Total,1210,1210 On profits of corporates,2009,693.983
NES,Total,1210,1210 On profits of corporates,2010,471.865
NES,Total,1210,1210 On profits of corporates,2011,555.774
NES,Total,1210,1210 On profits of corporates,2012,453.121
NES,Total,1210,1210 On profits of corporates,2013,602.281
NES,Total,1210,1210 On profits of corporates,2014,884.006
NES,Total,1210,1210 On profits of corporates,2015,1133.104
NES,Total,1210,1210 On profits of corporates,2016,990.564
NES,Total,1210,1210 On profits of corporates,2017,790.777
NES,Total,1210,1210 On profits of corporates,2018,958.624
NES,Total,1210,1210 On profits of corporates,2019,883.948
NES,Total,1210,1210 On profits of corporates,2020,861.664
NES,Total,1210,1210 On profits of corporates,2021,885.264
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2004,218.805
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2005,188.887
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2006,201.248
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2007,272.464
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2008,383.27
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2009,693.983
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2010,471.865
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2011,555.774
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2012,453.121
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2013,595.386
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2014,877.085
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2015,1125.516
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2016,982.818
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2017,783.81
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2018,954.868
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2019,876.818
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2020,858.206
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2021,881.489
NES,Total,1210_L01_LSO,Corporate income tax,2004,218.805
NES,Total,1210_L01_LSO,Corporate income tax,2005,188.887
NES,Total,1210_L01_LSO,Corporate income tax,2006,201.248
NES,Total,1210_L01_LSO,Corporate income tax,2007,272.464
NES,Total,1210_L01_LSO,Corporate income tax,2008,383.27
NES,Total,1210_L01_LSO,Corporate income tax,2009,693.983
NES,Total,1210_L01_LSO,Corporate income tax,2010,471.865
NES,Total,1210_L01_LSO,Corporate income tax,2011,555.774
NES,Total,1210_L01_LSO,Corporate income tax,2012,453.121
NES,Total,1210_L01_LSO,Corporate income tax,2013,595.386
NES,Total,1210_L01_LSO,Corporate income tax,2014,877.085
NES,Total,1210_L01_LSO,Corporate income tax,2015,1125.516
NES,Total,1210_L01_LSO,Corporate income tax,2016,982.818
NES,Total,1210_L01_LSO,Corporate income tax,2017,783.81
NES,Total,1210_L01_LSO,Corporate income tax,2018,954.868
NES,Total,1210_L01_LSO,Corporate income tax,2019,876.818
NES,Total,1210_L01_LSO,Corporate income tax,2020,858.206
NES,Total,1210_L01_LSO,Corporate income tax,2021,881.489
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2004,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2005,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2006,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2007,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2008,0.0
