GOV,Level of government,TAX,Revenue category,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2012,2012,LSL,Loti,6,Millions,,,1445.721,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2013,2013,LSL,Loti,6,Millions,,,2072.014,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2014,2014,LSL,Loti,6,Millions,,,2158.683,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2015,2015,LSL,Loti,6,Millions,,,2484.098,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2016,2016,LSL,Loti,6,Millions,,,2695.462,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2017,2017,LSL,Loti,6,Millions,,,2751.488,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2018,2018,LSL,Loti,6,Millions,,,3111.605,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2019,2019,LSL,Loti,6,Millions,,,3142.412,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2020,2020,LSL,Loti,6,Millions,,,2850.863,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2021,2021,LSL,Loti,6,Millions,,,3235.265,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2004,2004,LSL,Loti,6,Millions,,,567.753,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2005,2005,LSL,Loti,6,Millions,,,617.883,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2006,2006,LSL,Loti,6,Millions,,,628.036,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2007,2007,LSL,Loti,6,Millions,,,716.208,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2008,2008,LSL,Loti,6,Millions,,,850.528,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2009,2009,LSL,Loti,6,Millions,,,866.185,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2010,2010,LSL,Loti,6,Millions,,,1179.647,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2011,2011,LSL,Loti,6,Millions,,,1469.101,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2012,2012,LSL,Loti,6,Millions,,,1445.721,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2013,2013,LSL,Loti,6,Millions,,,2072.014,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2014,2014,LSL,Loti,6,Millions,,,2158.683,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2015,2015,LSL,Loti,6,Millions,,,2484.098,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2016,2016,LSL,Loti,6,Millions,,,2695.462,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2017,2017,LSL,Loti,6,Millions,,,2751.488,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2018,2018,LSL,Loti,6,Millions,,,3111.605,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2019,2019,LSL,Loti,6,Millions,,,3142.412,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2020,2020,LSL,Loti,6,Millions,,,2850.863,,
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2021,2021,LSL,Loti,6,Millions,,,3235.265,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2004,2004,LSL,Loti,6,Millions,,,567.753,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2005,2005,LSL,Loti,6,Millions,,,617.883,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2006,2006,LSL,Loti,6,Millions,,,628.036,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2007,2007,LSL,Loti,6,Millions,,,716.208,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2008,2008,LSL,Loti,6,Millions,,,850.528,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2009,2009,LSL,Loti,6,Millions,,,866.185,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2010,2010,LSL,Loti,6,Millions,,,1179.647,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2011,2011,LSL,Loti,6,Millions,,,1469.101,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2012,2012,LSL,Loti,6,Millions,,,1445.721,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2013,2013,LSL,Loti,6,Millions,,,2072.014,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2014,2014,LSL,Loti,6,Millions,,,2158.683,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2015,2015,LSL,Loti,6,Millions,,,2484.098,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2016,2016,LSL,Loti,6,Millions,,,2695.462,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2017,2017,LSL,Loti,6,Millions,,,2751.488,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2018,2018,LSL,Loti,6,Millions,,,3111.605,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2019,2019,LSL,Loti,6,Millions,,,3142.412,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2020,2020,LSL,Loti,6,Millions,,,2850.863,,
FED,Federal or Central government,1110,1110 On income and profits of individuals,2021,2021,LSL,Loti,6,Millions,,,3235.265,,
NES,Total,1110,1110 On income and profits of individuals,2004,2004,LSL,Loti,6,Millions,,,567.753,,
NES,Total,1110,1110 On income and profits of individuals,2005,2005,LSL,Loti,6,Millions,,,617.883,,
NES,Total,1110,1110 On income and profits of individuals,2006,2006,LSL,Loti,6,Millions,,,628.036,,
NES,Total,1110,1110 On income and profits of individuals,2007,2007,LSL,Loti,6,Millions,,,716.208,,
NES,Total,1110,1110 On income and profits of individuals,2008,2008,LSL,Loti,6,Millions,,,850.528,,
NES,Total,1110,1110 On income and profits of individuals,2009,2009,LSL,Loti,6,Millions,,,866.185,,
NES,Total,1110,1110 On income and profits of individuals,2010,2010,LSL,Loti,6,Millions,,,1179.647,,
NES,Total,1110,1110 On income and profits of individuals,2011,2011,LSL,Loti,6,Millions,,,1469.101,,
NES,Total,1110,1110 On income and profits of individuals,2012,2012,LSL,Loti,6,Millions,,,1445.721,,
NES,Total,1110,1110 On income and profits of individuals,2013,2013,LSL,Loti,6,Millions,,,2072.014,,
NES,Total,1110,1110 On income and profits of individuals,2014,2014,LSL,Loti,6,Millions,,,2158.683,,
NES,Total,1110,1110 On income and profits of individuals,2015,2015,LSL,Loti,6,Millions,,,2484.098,,
NES,Total,1110,1110 On income and profits of individuals,2016,2016,LSL,Loti,6,Millions,,,2695.462,,
NES,Total,1110,1110 On income and profits of individuals,2017,2017,LSL,Loti,6,Millions,,,2751.488,,
NES,Total,1110,1110 On income and profits of individuals,2018,2018,LSL,Loti,6,Millions,,,3111.605,,
NES,Total,1110,1110 On income and profits of individuals,2019,2019,LSL,Loti,6,Millions,,,3142.412,,
NES,Total,1110,1110 On income and profits of individuals,2020,2020,LSL,Loti,6,Millions,,,2850.863,,
NES,Total,1110,1110 On income and profits of individuals,2021,2021,LSL,Loti,6,Millions,,,3235.265,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2004,2004,LSL,Loti,6,Millions,,,567.753,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2005,2005,LSL,Loti,6,Millions,,,617.883,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2006,2006,LSL,Loti,6,Millions,,,628.036,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2007,2007,LSL,Loti,6,Millions,,,716.208,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2008,2008,LSL,Loti,6,Millions,,,850.528,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2009,2009,LSL,Loti,6,Millions,,,866.185,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2010,2010,LSL,Loti,6,Millions,,,1179.647,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2011,2011,LSL,Loti,6,Millions,,,1469.101,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2012,2012,LSL,Loti,6,Millions,,,1445.721,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2013,2013,LSL,Loti,6,Millions,,,1644.675,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2014,2014,LSL,Loti,6,Millions,,,1651.341,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2015,2015,LSL,Loti,6,Millions,,,1736.5,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2016,2016,LSL,Loti,6,Millions,,,1965.013,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2017,2017,LSL,Loti,6,Millions,,,1977.036,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2018,2018,LSL,Loti,6,Millions,,,2212.087,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2019,2019,LSL,Loti,6,Millions,,,2295.861,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2020,2020,LSL,Loti,6,Millions,,,2022.619,,
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2021,2021,LSL,Loti,6,Millions,,,2372.891,,
NES,Total,1110_L01_LSO,Personal income tax,2004,2004,LSL,Loti,6,Millions,,,567.753,,
NES,Total,1110_L01_LSO,Personal income tax,2005,2005,LSL,Loti,6,Millions,,,617.883,,
NES,Total,1110_L01_LSO,Personal income tax,2006,2006,LSL,Loti,6,Millions,,,628.036,,
NES,Total,1110_L01_LSO,Personal income tax,2007,2007,LSL,Loti,6,Millions,,,716.208,,
NES,Total,1110_L01_LSO,Personal income tax,2008,2008,LSL,Loti,6,Millions,,,850.528,,
NES,Total,1110_L01_LSO,Personal income tax,2009,2009,LSL,Loti,6,Millions,,,866.185,,
NES,Total,1110_L01_LSO,Personal income tax,2010,2010,LSL,Loti,6,Millions,,,1179.647,,
NES,Total,1110_L01_LSO,Personal income tax,2011,2011,LSL,Loti,6,Millions,,,1469.101,,
NES,Total,1110_L01_LSO,Personal income tax,2012,2012,LSL,Loti,6,Millions,,,1445.721,,
NES,Total,1110_L01_LSO,Personal income tax,2013,2013,LSL,Loti,6,Millions,,,1644.675,,
NES,Total,1110_L01_LSO,Personal income tax,2014,2014,LSL,Loti,6,Millions,,,1651.341,,
NES,Total,1110_L01_LSO,Personal income tax,2015,2015,LSL,Loti,6,Millions,,,1736.5,,
NES,Total,1110_L01_LSO,Personal income tax,2016,2016,LSL,Loti,6,Millions,,,1965.013,,
NES,Total,1110_L01_LSO,Personal income tax,2017,2017,LSL,Loti,6,Millions,,,1977.036,,
NES,Total,1110_L01_LSO,Personal income tax,2018,2018,LSL,Loti,6,Millions,,,2212.087,,
NES,Total,1110_L01_LSO,Personal income tax,2019,2019,LSL,Loti,6,Millions,,,2295.861,,
NES,Total,1110_L01_LSO,Personal income tax,2020,2020,LSL,Loti,6,Millions,,,2022.619,,
NES,Total,1110_L01_LSO,Personal income tax,2021,2021,LSL,Loti,6,Millions,,,2372.891,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2004,2004,LSL,Loti,6,Millions,,,0,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2005,2005,LSL,Loti,6,Millions,,,0,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2006,2006,LSL,Loti,6,Millions,,,0,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2007,2007,LSL,Loti,6,Millions,,,0,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2008,2008,LSL,Loti,6,Millions,,,0,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2009,2009,LSL,Loti,6,Millions,,,0,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2010,2010,LSL,Loti,6,Millions,,,0,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2011,2011,LSL,Loti,6,Millions,,,0,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2012,2012,LSL,Loti,6,Millions,,,0,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2013,2013,LSL,Loti,6,Millions,,,427.339,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2014,2014,LSL,Loti,6,Millions,,,507.342,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2015,2015,LSL,Loti,6,Millions,,,747.598,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2016,2016,LSL,Loti,6,Millions,,,730.449,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2017,2017,LSL,Loti,6,Millions,,,774.453,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2018,2018,LSL,Loti,6,Millions,,,899.518,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2019,2019,LSL,Loti,6,Millions,,,846.551,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2020,2020,LSL,Loti,6,Millions,,,828.244,,
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2021,2021,LSL,Loti,6,Millions,,,862.375,,
NES,Total,1110_L02_LSO,Withholding tax,2004,2004,LSL,Loti,6,Millions,,,0,,
NES,Total,1110_L02_LSO,Withholding tax,2005,2005,LSL,Loti,6,Millions,,,0,,
NES,Total,1110_L02_LSO,Withholding tax,2006,2006,LSL,Loti,6,Millions,,,0,,
NES,Total,1110_L02_LSO,Withholding tax,2007,2007,LSL,Loti,6,Millions,,,0,,
NES,Total,1110_L02_LSO,Withholding tax,2008,2008,LSL,Loti,6,Millions,,,0,,
NES,Total,1110_L02_LSO,Withholding tax,2009,2009,LSL,Loti,6,Millions,,,0,,
NES,Total,1110_L02_LSO,Withholding tax,2010,2010,LSL,Loti,6,Millions,,,0,,
NES,Total,1110_L02_LSO,Withholding tax,2011,2011,LSL,Loti,6,Millions,,,0,,
NES,Total,1110_L02_LSO,Withholding tax,2012,2012,LSL,Loti,6,Millions,,,0,,
NES,Total,1110_L02_LSO,Withholding tax,2013,2013,LSL,Loti,6,Millions,,,427.339,,
NES,Total,1110_L02_LSO,Withholding tax,2014,2014,LSL,Loti,6,Millions,,,507.342,,
NES,Total,1110_L02_LSO,Withholding tax,2015,2015,LSL,Loti,6,Millions,,,747.598,,
